,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
196,2,46,3,3,4,4,3,3,1
197,2,48,2,2,2,2,2,1,1
198,2,50,1,1,1,1,1,1,1
199,2,51,2,2,1,1,1,0,0
200,2,52,3,3,2,2,1,1,0
201,2,55,3,3,1,1,0,0,0
202,2,56,4,4,1,1,0,0,0
203,2,57,4,4,2,2,1,0,0
204,2,58,3,3,1,1,0,0,0
205,2,59,3,3,3,3,2,2,1
206,2,60,3,3,9,9,8,8,4
207,2,62,3,3,1,1,0,0,0
208,2,63,5,5,4,4,1,0,0
209,2,64,5,5,4,4,1,0,0
210,2,65,5,5,11,11,6,1,1
211,2,66,3,3,1,1,0,0,0
212,2,67,4,4,4,4,3,2,2
213,2,68,2,2,2,2,2,1,1
214,2,69,4,4,6,6,5,1,1
215,2,70,4,4,6,6,5,1,1
216,2,71,4,4,11,11,10,8,8
217,2,72,4,4,1,1,0,0,0
218,2,73,3,3,1,1,0,0,0
219,2,74,4,4,5,5,4,2,2
220,2,75,5,5,8,8,3,0,0
221,2,77,4,4,3,3,2,1,1
222,2,78,2,2,3,3,3,2,2
223,2,79,7,7,3,3,0,0,0
224,2,80,3,3,1,1,0,0,0
225,2,81,4,4,1,1,0,0,0
226,2,82,5,5,4,4,1,0,0
227,2,83,5,5,4,4,2,0,0
228,2,84,3,3,2,2,1,1,0
229,2,87,3,3,2,2,1,1,0
230,2,88,3,3,2,2,1,1,0
231,2,89,3,3,1,1,0,0,0
232,2,90,4,4,7,7,6,5,5
233,2,91,4,4,4,4,3,1,1
234,2,93,6,6,14,14,12,11,4
235,2,94,4,4,4,4,3,2,2
236,2,95,6,6,3,3,1,0,0
237,2,96,6,6,8,8,5,2,0
238,2,97,3,3,3,3,2,2,1
239,2,98,2,2,1,1,1,0,0
240,5,6,3,3,5,5,4,4,2
241,5,7,3,3,3,3,2,2,1
242,5,8,2,2,2,2,2,1,1
243,5,9,3,3,1,1,0,0,0
244,5,11,1,1,1,1,1,1,1
245,5,12,5,5,6,6,3,1,1
246,5,14,5,5,11,11,8,6,6
247,5,15,2,2,1,1,1,0,0
248,5,16,3,3,5,5,4,4,2
249,5,17,2,2,3,3,3,2,2
250,5,18,1,1,1,1,1,1,1
251,5,19,3,3,2,2,1,1,0
252,5,20,3,3,3,3,2,2,1
253,5,22,4,4,11,11,10,7,7
254,5,23,3,3,6,6,5,5,3
255,5,24,3,3,4,4,3,3,0
256,5,26,3,3,6,6,5,5,1
257,5,27,2,2,3,3,3,2,2
258,5,28,4,4,3,3,2,1,1
259,5,30,3,3,3,3,2,2,1
260,5,31,4,4,3,3,2,0,0
261,5,32,6,6,22,22,18,11,5
262,5,33,3,3,7,7,6,6,4
263,5,34,4,4,14,14,13,10,10
264,5,35,3,3,3,3,2,2,0
265,5,36,2,2,1,1,1,0,0
266,5,38,4,4,11,11,10,7,7
267,5,39,2,2,1,1,1,0,0
268,5,40,1,1,1,1,1,1,1
269,5,41,1,1,1,1,1,1,1
270,5,42,3,3,4,4,3,3,2
271,5,43,5,5,3,3,1,0,0
272,5,44,1,1,1,1,1,1,1
273,5,45,4,4,8,8,7,5,5
274,5,46,2,2,5,5,5,4,4
275,5,48,1,1,1,1,1,1,1
276,5,50,2,2,4,4,4,3,3
277,5,51,2,2,2,2,2,1,1
278,5,52,1,1,1,1,1,1,1
279,5,55,3,3,2,2,1,1,0
280,5,56,4,4,15,15,14,11,11
281,5,57,4,4,5,5,4,2,2
282,5,58,3,3,3,3,2,2,0
283,5,59,2,2,1,1,1,0,0
284,5,60,1,1,1,1,1,1,1
285,5,62,3,3,4,4,3,3,2
286,5,63,5,5,8,8,4,1,1
287,5,64,5,5,13,13,8,3,3
288,5,65,5,5,28,28,24,15,15
289,5,66,3,3,2,2,1,1,0
290,5,67,4,4,7,7,6,5,5
291,5,68,1,1,1,1,1,1,1
292,5,69,4,4,31,31,30,26,26
293,5,70,4,4,17,17,16,11,11
294,5,71,2,2,2,2,2,1,1
295,5,72,4,4,11,11,10,8,8
296,5,73,3,3,2,2,1,1,0
297,5,74,2,2,2,2,2,1,1
298,5,75,5,5,22,22,18,11,11
299,5,77,4,4,6,6,5,3,3
300,5,78,1,1,1,1,1,1,1
301,5,79,7,7,6,6,1,0,0
302,5,80,3,3,2,2,1,1,0
303,5,81,4,4,2,2,1,0,0
304,5,82,5,5,13,13,8,3,3
305,5,83,5,5,7,7,5,2,2
306,5,84,1,1,1,1,1,1,1
307,5,87,3,3,4,4,3,3,1
308,5,88,3,3,7,7,6,6,3
309,5,89,3,3,3,3,2,2,0
310,5,90,3,3,6,6,5,5,3
311,5,91,4,4,13,13,12,8,8
312,5,93,5,5,8,8,5,3,3
313,5,94,4,4,7,7,6,5,5
314,5,95,6,6,6,6,3,1,0
315,5,96,4,4,3,3,2,1,1
316,5,97,2,2,1,1,1,0,0
317,5,98,2,2,4,4,4,3,3
318,6,7,3,3,5,5,4,4,2
319,6,8,3,3,2,2,1,1,0
320,6,9,2,2,3,3,3,2,2
321,6,11,4,4,17,17,16,14,14
